,bus1,bus2,bus3
66,3500.0,3500.0,3500.0
67,3500.0,3500.0,3500.0
68,3500.0,3500.0,3500.0
69,3500.0,3500.0,3500.0
70,3500.0,3500.0,3500.0
71,3500.0,3500.0,3500.0
72,3500.0,3500.0,3500.0
73,3500.0,3500.0,3500.0
74,3500.0,3500.0,3500.0
75,3500.0,3500.0,3500.0
76,3500.0,3500.0,3500.0
77,3500.0,3500.0,3500.0
78,3500.0,3500.0,3500.0
79,3500.0,3500.0,3500.0
80,3500.0,3500.0,3500.0
81,3500.0,3500.0,3500.0
82,3500.0,3500.0,3500.0
83,3500.0,3500.0,3500.0
84,3500.0,3500.0,3500.0
85,3500.0,3500.0,3500.0
86,3500.0,3500.0,3500.0
87,3500.0,3500.0,3500.0
88,3500.0,3500.0,3500.0
89,3500.0,3500.0,3500.0
90,3500.0,3500.0,3500.0
91,3500.0,3500.0,3500.0
92,3500.0,3500.0,3500.0
93,3500.0,3500.0,3500.0
94,3500.0,3500.0,3500.0
95,3500.0,3500.0,3500.0
96,3500.0,3500.0,3500.0
97,3500.0,3500.0,3500.0
98,3500.0,3500.0,3500.0
99,3500.0,3500.0,3500.0
100,3500.0,3500.0,3500.0
101,3500.0,3500.0,3500.0
102,3500.0,3500.0,3500.0
103,3500.0,3500.0,3500.0
104,3500.0,3500.0,3500.0
105,3500.0,3500.0,3500.0
106,3500.0,3500.0,3500.0
107,3500.0,3500.0,3500.0
108,3500.0,3500.0,3500.0
109,3500.0,3500.0,3500.0
110,3500.0,3500.0,3500.0
111,3500.0,3500.0,3500.0
112,3500.0,3500.0,3500.0
113,3500.0,3500.0,3500.0
114,3500.0,3500.0,3500.0
115,3500.0,3500.0,3500.0
116,3500.0,3500.0,3500.0
117,3500.0,3500.0,3500.0
118,3500.0,3500.0,3500.0
119,3500.0,3500.0,3500.0
120,3500.0,3500.0,3500.0
121,3500.0,3500.0,3500.0
122,3500.0,3500.0,3500.0
123,3500.0,3500.0,3500.0
124,3500.0,3500.0,3500.0
125,3500.0,3500.0,3500.0
126,3500.0,3500.0,3500.0
127,3500.0,3500.0,3500.0
128,3500.0,3500.0,3500.0
129,3500.0,3500.0,3500.0
130,3500.0,3500.0,3500.0
131,3500.0,3500.0,3500.0
132,3500.0,3500.0,3500.0
133,3500.0,3500.0,3500.0
134,3500.0,3500.0,3500.0
135,3500.0,3500.0,3500.0
136,3500.0,3500.0,3500.0
137,3500.0,3500.0,3500.0
138,3500.0,3500.0,3500.0
139,3500.0,3500.0,3500.0
140,3500.0,3500.0,3500.0
141,3500.0,3500.0,3500.0
142,3500.0,3500.0,3500.0
143,3500.0,3500.0,3500.0
144,3500.0,3500.0,3500.0
145,3500.0,3500.0,3500.0
146,3500.0,3500.0,3500.0
147,3500.0,3500.0,3500.0
148,3500.0,3500.0,3500.0
