,CST,PV
445,0.66870605,
446,0.680000799,
447,0.496887354,
448,0.0,
449,0.0,
450,0.0,
451,0.0,
452,0.0,
453,0.0,
454,0.0,
455,0.0,
456,0.0,
457,0.0,
458,0.0,
459,0.0,
460,0.0,
461,0.0,
462,0.053609708,
463,0.604953054,
464,0.796289719,
465,0.891962659,
466,0.949917534,
467,0.950837808,
468,0.950725901,
469,0.841043469,
470,0.709396902,
471,0.230541124,
472,0.0,
473,0.0,
474,0.0,
475,0.0,
476,0.0,
477,0.0,
478,0.0,
479,0.0,
480,0.0,
481,0.0,
482,0.0,
483,0.0,
484,0.0,
485,0.0,
486,0.083826816,
487,0.641038587,
488,0.825567331,
489,0.922386994,
490,0.949922801,
491,0.949878038,
492,0.742106781,
493,0.517294001,
494,0.647301452,
495,0.0,
496,0.0,
497,0.0,
498,0.0,
499,0.0,
500,0.0,
501,0.0,
502,0.0,
503,0.0,
504,0.0,
505,0.0,
506,0.0,
507,0.0,
508,0.0,
509,0.0,
510,0.0,
511,0.305245248,
512,0.789928111,
513,0.901672273,
514,0.948832691,
515,0.948938015,
516,0.949209226,
517,0.488507464,
518,0.0,
519,0.0,
520,0.0,
521,0.0,
522,0.0,
523,0.0,
524,0.0,
525,0.0,
526,0.0,
527,0.0,
528,0.0,
529,0.0,
530,0.0,
531,0.0,
532,0.0,
533,0.0,
534,0.0,
535,0.0,
536,0.0,
537,0.0,
538,0.0,
539,0.0,
540,0.0,
541,0.253684894,
542,0.0,
543,0.0,
544,0.0,
545,0.0,
546,0.0,
547,0.0,
548,0.0,
549,0.0,
550,0.0,
551,0.0,
552,0.0,
553,0.0,
554,0.0,
555,0.0,
556,0.0,
557,0.0,
558,0.0,
559,0.0,
560,0.106673966,
561,0.717795225,
562,0.773950365,
563,0.667256519,
564,0.647319884,
565,0.69386547,
566,0.633486811,
567,0.280612451,
568,0.0,
569,0.0,
570,0.0,
571,0.0,
572,0.0,
573,0.0,
574,0.0,
575,0.0,
576,0.0,
577,0.0,
578,0.0,
579,0.0,
580,0.0,
581,0.0,
582,0.0,
583,0.0,
584,0.0,
585,0.055953313,
586,0.698440508,
587,0.749832343,
588,0.58959409,
589,0.500207713,
590,0.329060462,
591,0.286429003,
592,0.317091635,
593,0.0,
594,0.0,
595,0.0,
596,0.0,
597,0.0,
598,0.0,
599,0.0,
600,0.0,
601,0.0,
602,0.0,
603,0.0,
604,0.0,
605,0.0,
606,0.0,
607,0.157681497,
608,0.0,
609,0.0,
610,0.404784919,
611,0.919046887,
612,0.722012159,
613,0.867685333,
614,0.605024148,
615,0.321096604,
616,0.308316777,
617,0.0,
618,0.0,
619,0.0,
620,0.0,
621,0.0,
622,0.0,
623,0.0,
624,0.0,
625,0.0,
626,0.0,
627,0.0,
628,0.0,
629,0.0,
630,0.0,
631,0.291047488,
632,0.460017152,
633,0.814287064,
634,0.888263132,
635,0.924746265,
636,0.913329076,
637,0.562846901,
638,0.659463814,
639,0.356972805,
640,0.0,
641,0.0,
642,0.0,
643,0.0,
644,0.0,
645,0.0,
646,0.0,
647,0.0,
648,0.0,
649,0.0,
650,0.0,
651,0.0,
652,0.0,
653,0.0,
654,0.0,
655,0.0,
656,0.0,
657,0.27623358,
658,0.0,
659,0.036213766,
660,0.0,
661,0.0,
662,0.434977539,
663,0.0,
664,0.0,
